date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:42	66430/66430	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20May%202025%2022:05:41%20GMT	https://www.ahmaddamra.com/	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/index.html	(from )
17:05:42	547/547	---M-Z	200	added ('OK')	text/plain	etag:%22022f49847f4d61:0%22	https://www.ahmaddamra.com/robots.txt		(from )
17:05:42	1215/1215	---M-Z	200	added ('OK')	text/css	etag:%220b47f2e3bb8d51:0%22	https://www.ahmaddamra.com/Content/css/plugins.css	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/Content/css/plugins.css	(from https://www.ahmaddamra.com/)
17:05:42	36818/36818	---M-Z	200	added ('OK')	text/css	etag:%220b47f2e3bb8d51:0%22	https://www.ahmaddamra.com/Content/css/style-light.css	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/Content/css/style-light.css	(from https://www.ahmaddamra.com/)
17:05:43	2597/2597	---M-Z	200	added ('OK')	text/css	etag:%220b47f2e3bb8d51:0%22	https://www.ahmaddamra.com/Content/css/blue-color.css	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/Content/css/blue-color.css	(from https://www.ahmaddamra.com/)
17:05:43	9174/9174	---M-Z	200	added ('OK')	application/javascript	etag:%220581353cb8d51:0%22	https://www.ahmaddamra.com/js/modernizr.js	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/js/modernizr.js	(from https://www.ahmaddamra.com/)
17:05:44	64940/64940	---M--	200	added ('OK')	image/jpeg	etag:%220406763bb8d51:0%22	https://www.ahmaddamra.com/Content/img/a.jpg	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/Content/img/a.jpg	(from https://www.ahmaddamra.com/)
17:05:48	29646/29646	---M--	200	added ('OK')	image/png	etag:%22086c9993bb8d51:0%22	https://www.ahmaddamra.com/Content/img/sign.png	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/Content/img/sign.png	(from https://www.ahmaddamra.com/)
17:05:52	163804/163804	---M--	200	added ('OK')	application/pdf	etag:%2201e458aa954d61:0%22	http://www.ahmaddamra.com/aspcore.pdf	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/aspcore.pdf	(from https://www.ahmaddamra.com/)
17:05:52	11068/11068	---M--	200	added ('OK')	image/png	etag:%22086c9993bb8d51:0%22	https://www.ahmaddamra.com/Content/img/clients/client-01.png	C:/mywebsite2/mywebsite2/www.ahmaddamra.com/Content/img/clients/client-01.png	(from https://www.ahmaddamra.com/)
